1,8
2,16
3,21
4,30
5,3
6,7
7,13
8,6
9,22
10,21
11,17
12,22
13,16
14,28
15,21
16,26
17,2
18,5
19,9
20,22
21,24
22,3
23,7
24,6
25,28
26,8
27,16
28,15
29,21
30,3
31,9
32,27
33,23
34,10
35,7
36,8
37,3
38,8
39,14
40,7
41,6
42,22
43,3
44,18
45,1
46,13
47,23
48,27
49,28
50,6
51,16
52,24
53,16
54,12
55,1
56,23
57,3
58,21
59,15
60,28
61,30
62,25
63,10
64,13
65,28
66,23
67,24
68,24
69,30
70,14
71,26
72,27
73,1
74,12
75,16
76,6
77,13
78,2
79,20
80,13
81,5
82,2
83,22
84,15
85,7
86,4
87,27
88,21
89,27
90,23
91,23
92,6
93,3
94,5
95,25
96,14
97,27
98,2
99,3
100,23
101,17
102,23
103,14
104,17
105,23
106,8
107,5
108,14
109,3
110,3
111,23
112,23
113,9
114,27
115,27
116,5
117,2
118,9
119,11
120,23
121,30
122,27
123,2
124,21
125,12
126,23
127,27
128,20
129,2
130,6
131,24
132,10
133,21
134,8
135,2
136,17
137,16
138,21
139,11
140,1
141,24
142,17
143,30
144,24
145,21
146,10
147,23
148,17
149,8
150,18
151,21
152,23
153,2
154,23
155,20
156,14
157,14
158,29
159,17
160,16
161,1
162,16
163,9
164,15
165,16
166,23
167,3
168,23
169,27
170,6
171,20
172,27
173,29
174,13
175,30
176,10
177,25
178,21
179,30
180,27
181,17
182,17
183,7
184,21
185,13
186,30
187,26
188,8
189,9
190,20
191,17
192,29
193,9
194,2
195,2
196,11
197,2
198,8
199,24
200,2
201,16
202,9
203,20
204,6
205,21
206,6
207,21
208,12
209,9
210,6
211,13
212,11
213,1
214,27
215,30
216,21
217,23
218,30
219,20
220,21
221,9
222,22
223,27
224,15
225,21
226,11
227,27
228,20
229,3
230,20
231,24
232,19
233,23
234,1
235,27
236,20
237,24
238,12
239,23
240,14
241,9
242,4
243,7
244,12
245,5
246,29
247,8
248,12
249,6
250,6
251,11
252,1
253,3
254,24
255,21
256,23
257,8
258,27
259,25
260,4
261,21
262,7
263,8
264,1
265,4
266,29
267,22
268,4
269,3
270,19
271,26
272,3
273,23
274,21
275,27
276,1
277,3
278,2
279,13
280,28
281,23
282,19
283,22
284,23
285,1
286,15
287,16
288,28
289,11
290,23
291,22
292,23
